"id" "country" "group" "ST" "ASP" "GLN" "GLT" "GLY" "PGM" "TKT" "UNC"
96 1 0 45 4 7 10 4 1 7 1
97 1 0 50 2 1 12 3 2 1 5
98 1 0 50 2 1 12 3 2 1 5
99 1 0 21 2 1 1 3 2 1 5
100 1 0 48 2 4 1 2 7 1 5
101 1 0 22 1 3 6 4 3 3 3
102 1 0 21 2 1 1 3 2 1 5
103 1 0 42 1 2 3 4 5 9 3
104 1 0 42 1 2 3 4 5 9 3
105 1 0 3633 2 1 1 5 2 343 5
106 1 0 824 9 2 2 2 11 5 6
107 1 0 19 2 1 5 3 2 1 5
108 1 0 475 2 4 1 4 19 62 5
109 1 0 4742 257 1 5 3 2 25 5
110 1 0 45 4 7 10 4 1 7 1
111 1 0 4811 6 4 52 2 89 282 5
112 1 0 50 2 1 12 3 2 1 5
113 1 0 42 1 2 3 4 5 9 3
114 1 0 538 4 7 10 4 42 25 1
115 1 0 400 8 17 5 2 10 59 6
116 1 0 50 2 1 12 3 2 1 5
117 1 0 3837 8 1 6 2 2 1 1
118 1 0 3837 8 1 6 2 2 1 1
119 1 0 50 2 1 12 3 2 1 5
120 1 0 536 2 17 12 3 2 1 5
121 1 0 538 4 7 10 4 42 25 1
122 1 0 42 1 2 3 4 5 9 3
123 1 0 45 4 7 10 4 1 7 1
124 1 0 4811 6 4 52 2 89 282 5
125 1 0 4811 6 4 52 2 89 282 5
126 1 0 4811 6 4 52 2 89 282 5
127 1 0 4811 6 4 52 2 89 282 5
128 1 0 4811 6 4 52 2 89 282 5
129 1 2 45 4 7 10 4 1 7 1
130 1 2 4746 2 7 243 28 520 29 35
131 1 2 21 2 1 1 3 2 1 5
132 1 2 42 1 2 3 4 5 9 3
133 1 2 21 2 1 1 3 2 1 5
134 1 2 45 4 7 10 4 1 7 1
135 1 2 257 9 2 4 62 4 5 6
136 1 2 45 4 7 10 4 1 7 1
137 1 2 48 2 4 1 2 7 1 5
138 1 0 441 7 1 2 83 2 3 6
139 1 2 4747 7 172 21 49 467 224 51
140 1 2 4765 1 2 3 4 5 9 281
141 1 2 45 4 7 10 4 1 7 1
142 1 2 45 4 7 10 4 1 7 1
143 1 2 583 4 7 10 4 42 51 1
144 1 2 400 8 17 5 2 10 59 6
145 1 2 257 9 2 4 62 4 5 6
146 1 2 45 4 7 10 4 1 7 1
147 1 2 3496 7 287 5 2 135 3 26
148 1 2 4811 6 4 52 2 89 282 5
149 1 0 1367 10 119 50 126 171 194 112
150 1 2 48 2 4 1 2 7 1 5
151 1 2 21 2 1 1 3 2 1 5
152 1 2 400 8 17 5 2 10 59 6
153 1 2 21 2 1 1 3 2 1 5
154 1 2 4748 2 15 4 4 20 34 35
155 1 2 45 4 7 10 4 1 7 1
156 1 2 290 2 21 5 3 23 1 5
157 1 2 451 2 1 2 3 2 3 5
158 1 2 42 1 2 3 4 5 9 3
159 1 2 400 8 17 5 2 10 59 6
160 1 2 4368 2 59 4 48 131 25 283
161 1 2 1787 2 21 5 3 19 1 5
162 1 2 21 2 1 1 3 2 1 5
163 1 2 45 4 7 10 4 1 7 1
164 1 2 48 2 4 1 2 7 1 5
165 1 2 21 2 1 1 3 2 1 5
166 1 2 267 4 7 40 4 42 51 1
167 1 2 21 2 1 1 3 2 1 5
168 1 2 48 2 4 1 2 7 1 5
169 1 0 441 7 1 2 83 2 3 6
170 1 2 42 1 2 3 4 5 9 3
171 1 2 1954 37 106 4 131 127 29 23
172 1 2 441 7 1 2 83 2 3 6
173 1 2 450 47 55 5 10 11 48 8
174 1 2 177 17 2 8 5 8 2 4
175 1 2 4749 2 52 4 373 141 25 23
176 1 2 48 2 4 1 2 7 1 5
177 1 2 1301 2 115 57 26 127 29 35
178 1 2 21 2 1 1 3 2 1 5
179 1 0 441 7 1 2 83 2 3 6
180 1 2 1911 7 84 5 10 119 178 26
181 1 2 905 2 15 4 3 154 25 35
182 1 2 2314 2 61 4 64 332 7 23
183 1 2 2882 7 2 5 299 10 3 6
184 1 2 354 8 10 2 2 11 12 6
185 1 2 4766 6 4 5 2 2 282 5
186 1 2 21 2 1 1 3 2 1 5
187 1 2 21 2 1 1 3 2 1 5
188 1 2 42 1 2 3 4 5 9 3
189 1 2 585 69 74 61 6 97 89 48
190 1 0 21 2 1 1 3 2 1 5
191 1 2 51 7 17 2 15 23 3 12
192 1 2 4748 2 15 4 4 20 34 35
193 1 2 230 4 7 41 4 42 7 1
194 1 2 48 2 4 1 2 7 1 5
195 1 2 4750 64 105 22 100 134 103 16
196 1 2 257 9 2 4 62 4 5 6
197 1 2 11 48 7 10 4 1 7 1
198 1 2 48 2 4 1 2 7 1 5
199 1 2 22 1 3 6 4 3 3 3
200 1 2 52 9 25 2 10 22 3 6
201 1 0 50 2 1 12 3 2 1 5
202 1 2 441 7 1 2 83 2 3 6
203 1 2 45 4 7 10 4 1 7 1
204 1 2 45 4 7 10 4 1 7 1
205 1 2 61 1 4 2 2 6 3 17
206 1 2 21 2 1 1 3 2 1 5
207 1 2 400 8 17 5 2 10 59 6
208 1 2 4320 80 22 20 377 134 111 286
209 1 2 45 4 7 10 4 1 7 1
210 1 2 45 4 7 10 4 1 7 1
211 1 2 4751 2 4 4 27 126 25 23
212 1 2 50 2 1 12 3 2 1 5
213 1 2 538 4 7 10 4 42 25 1
214 1 2 4752 27 33 78 104 43 109 16
215 1 2 400 8 17 5 2 10 59 6
216 1 2 21 2 1 1 3 2 1 5
217 1 2 45 4 7 10 4 1 7 1
218 1 2 22 1 3 6 4 3 3 3
219 1 0 45 4 7 10 4 1 7 1
220 1 2 441 7 1 2 83 2 3 6
221 1 2 4748 2 15 4 4 20 34 35
222 1 2 45 4 7 10 4 1 7 1
223 1 2 257 9 2 4 62 4 5 6
224 1 2 2367 2 28 29 28 74 267 124
225 1 2 4754 37 61 57 64 519 430 23
226 1 2 45 4 7 10 4 1 7 1
227 1 2 583 4 7 10 4 42 51 1
228 1 2 21 2 1 1 3 2 1 5
229 1 0 4811 6 4 52 2 89 282 5
230 1 2 2314 2 61 4 64 332 7 23
231 1 2 48 2 4 1 2 7 1 5
232 1 2 21 2 1 1 3 2 1 5
233 1 2 50 2 1 12 3 2 1 5
234 1 2 441 7 1 2 83 2 3 6
235 1 2 45 4 7 10 4 1 7 1
236 1 2 137 4 7 10 4 42 7 1
237 1 2 677 10 81 50 99 120 76 52
238 1 0 4811 6 4 52 2 89 282 5
239 1 2 1326 104 7 10 4 1 7 1
240 1 2 11 48 7 10 4 1 7 1
241 1 2 21 2 1 1 3 2 1 5
242 1 2 21 2 1 1 3 2 1 5
243 1 2 1341 10 33 22 49 43 9 31
244 1 2 21 2 1 1 3 2 1 5
245 1 2 257 9 2 4 62 4 5 6
246 1 2 4811 6 4 52 2 89 282 5
247 1 2 1326 104 7 10 4 1 7 1
248 1 2 45 4 7 10 4 1 7 1
249 1 0 4811 6 4 52 2 89 282 5
250 1 2 400 8 17 5 2 10 59 6
251 1 2 45 4 7 10 4 1 7 1
252 1 2 61 1 4 2 2 6 3 17
253 1 2 583 4 7 10 4 42 51 1
254 1 2 45 4 7 10 4 1 7 1
255 1 2 1326 104 7 10 4 1 7 1
256 1 2 257 9 2 4 62 4 5 6
257 1 2 400 8 17 5 2 10 59 6
258 1 2 45 4 7 10 4 1 7 1
259 1 2 53 2 1 21 3 2 1 5
260 1 2 267 4 7 40 4 42 51 1
261 1 2 267 4 7 40 4 42 51 1
262 1 2 45 4 7 10 4 1 7 1
263 1 2 45 4 7 10 4 1 7 1
264 1 2 692 37 52 57 26 127 29 23
265 1 2 677 10 81 50 99 120 76 52
266 1 2 45 4 7 10 4 1 7 1
267 1 2 677 10 81 50 99 120 76 52
268 1 0 11 48 7 10 4 1 7 1
269 1 2 982 2 1 2 3 2 1 5
270 1 2 583 4 7 10 4 42 51 1
271 1 2 400 8 17 5 2 10 59 6
272 1 2 492 2 1 1 2 7 1 5
273 1 2 4755 2 15 4 64 74 25 23
274 1 2 45 4 7 10 4 1 7 1
275 1 2 492 2 1 1 2 7 1 5
276 1 2 21 2 1 1 3 2 1 5
277 1 2 1709 22 15 4 64 74 25 23
278 1 2 991 37 52 57 26 107 29 23
279 1 0 400 8 17 5 2 10 59 6
280 1 2 990 9 2 4 62 4 133 6
281 1 2 21 2 1 1 3 2 1 5
282 1 2 583 4 7 10 4 42 51 1
283 1 2 400 8 17 5 2 10 59 6
284 1 2 45 4 7 10 4 1 7 1
285 1 2 45 4 7 10 4 1 7 1
286 1 2 48 2 4 1 2 7 1 5
287 1 2 19 2 1 5 3 2 1 5
288 1 2 1326 104 7 10 4 1 7 1
289 1 2 52 9 25 2 10 22 3 6
290 1 2 45 4 7 10 4 1 7 1
291 1 2 21 2 1 1 3 2 1 5
292 1 2 583 4 7 10 4 42 51 1
293 1 2 45 4 7 10 4 1 7 1
294 1 2 692 37 52 57 26 127 29 23
295 1 2 4756 2 4 4 402 17 25 23
296 1 0 4811 6 4 52 2 89 282 5
297 1 2 45 4 7 10 4 1 7 1
298 1 2 583 4 7 10 4 42 51 1
299 1 2 267 4 7 40 4 42 51 1
300 1 2 22 1 3 6 4 3 3 3
301 1 2 21 2 1 1 3 2 1 5
302 1 2 4755 2 15 4 64 74 25 23
303 1 2 583 4 7 10 4 42 51 1
304 1 2 137 4 7 10 4 42 7 1
305 1 0 4811 6 4 52 2 89 282 5
306 1 2 475 2 4 1 4 19 62 5
307 1 2 45 4 7 10 4 1 7 1
308 1 2 45 4 7 10 4 1 7 1
309 1 2 475 2 4 1 4 19 62 5
310 1 2 2899 7 55 5 10 11 68 26
311 1 2 4757 8 17 10 2 10 59 6
312 1 2 21 2 1 1 3 2 1 5
313 1 2 45 4 7 10 4 1 7 1
314 1 2 677 10 81 50 99 120 76 52
315 1 2 400 8 17 5 2 10 59 6
316 1 0 19 2 1 5 3 2 1 5
317 1 2 48 2 4 1 2 7 1 5
318 1 2 1326 104 7 10 4 1 7 1
319 1 2 794 10 81 50 87 120 76 52
320 1 2 3623 8 2 5 336 11 3 1
321 1 2 583 4 7 10 4 42 51 1
322 1 2 4758 24 21 2 2 89 1 6
323 1 2 2367 2 28 29 28 74 267 124
324 1 2 21 2 1 1 3 2 1 5
325 1 2 45 4 7 10 4 1 7 1
326 1 2 21 2 1 1 3 2 1 5
327 1 2 21 2 1 1 3 2 1 5
328 1 2 257 9 2 4 62 4 5 6
329 1 0 2882 7 2 5 299 10 3 6
330 1 0 4811 6 4 52 2 89 282 5
331 1 0 400 8 17 5 2 10 59 6
332 1 0 21 2 1 1 3 2 1 5
333 1 0 50 2 1 12 3 2 1 5
334 1 0 48 2 4 1 2 7 1 5
335 1 0 42 1 2 3 4 5 9 3
336 1 0 42 1 2 3 4 5 9 3
337 1 0 1257 37 28 120 28 127 3 23
338 1 0 45 4 7 10 4 1 7 1
339 1 0 42 1 2 3 4 5 9 3
340 1 0 45 4 7 10 4 1 7 1
341 1 0 22 1 3 6 4 3 3 3
342 1 0 441 7 1 2 83 2 3 6
343 1 0 48 2 4 1 2 7 1 5
344 1 0 21 2 1 1 3 2 1 5
345 1 0 21 2 1 1 3 2 1 5
346 1 0 354 8 10 2 2 11 12 6
347 1 0 4760 63 223 181 254 306 264 308
348 1 0 22 1 3 6 4 3 3 3
349 1 0 400 8 17 5 2 10 59 6
350 1 0 3837 8 1 6 2 2 1 1
351 1 0 42 1 2 3 4 5 9 3
352 1 0 844 2 4 1 3 7 1 5
353 1 0 19 2 1 5 3 2 1 5
354 1 0 21 2 1 1 3 2 1 5
355 1 0 982 2 1 2 3 2 1 5
356 1 0 48 2 4 1 2 7 1 5
357 1 0 48 2 4 1 2 7 1 5
358 1 0 677 10 81 50 99 120 76 52
359 1 0 50 2 1 12 3 2 1 5
360 1 0 22 1 3 6 4 3 3 3
361 1 0 48 2 4 1 2 7 1 5
362 1 0 21 2 1 1 3 2 1 5
363 1 0 3837 8 1 6 2 2 1 1
364 1 0 21 2 1 1 3 2 1 5
365 1 0 21 2 1 1 3 2 1 5
366 1 0 1294 2 59 96 48 131 24 57
367 1 0 50 2 1 12 3 2 1 5
368 1 0 2258 2 84 2 68 2 68 5
369 1 0 53 2 1 21 3 2 1 5
370 1 0 257 9 2 4 62 4 5 6
371 1 0 51 7 17 2 15 23 3 12
372 1 0 48 2 4 1 2 7 1 5
373 1 0 21 2 1 1 3 2 1 5
374 1 0 572 62 4 5 2 2 1 5
375 1 0 657 73 4 2 4 19 3 6
376 1 0 21 2 1 1 3 2 1 5
377 1 0 21 2 1 1 3 2 1 5
378 1 0 45 4 7 10 4 1 7 1
379 1 0 677 10 81 50 99 120 76 52
380 1 0 257 9 2 4 62 4 5 6
381 1 0 52 9 25 2 10 22 3 6
382 1 0 45 4 7 10 4 1 7 1
383 1 6 403 10 27 16 19 10 5 7
384 1 6 556 10 27 43 19 10 18 7
385 1 6 270 10 27 43 19 6 18 7
386 1 0 21 2 1 1 3 2 1 5
387 1 0 48 2 4 1 2 7 1 5
388 1 0 19 2 1 5 3 2 1 5
389 1 0 53 2 1 21 3 2 1 5
390 1 0 53 2 1 21 3 2 1 5
391 1 0 61 1 4 2 2 6 3 17
392 1 0 4763 1 1 1 3 6 1 5
393 1 0 50 2 1 12 3 2 1 5
394 1 0 50 2 1 12 3 2 1 5
395 1 0 257 9 2 4 62 4 5 6
396 1 0 572 62 4 5 2 2 1 5
397 1 0 53 2 1 21 3 2 1 5
398 1 0 48 2 4 1 2 7 1 5
399 1 0 4764 2 3 6 4 3 397 5
400 1 0 122 6 4 5 2 2 1 5
401 1 0 19 2 1 5 3 2 1 5
402 1 0 21 2 1 1 3 2 1 5
403 1 0 4765 1 2 3 4 5 9 281
404 1 0 21 2 1 1 3 2 1 5
405 1 0 22 1 3 6 4 3 3 3
406 1 0 50 2 1 12 3 2 1 5
407 1 0 52 9 25 2 10 22 3 6
408 1 0 1044 2 10 2 4 19 3 6
409 1 0 53 2 1 21 3 2 1 5
410 1 0 50 2 1 12 3 2 1 5
411 1 0 21 2 1 1 3 2 1 5
412 1 0 4811 6 4 52 2 89 282 5
413 1 0 53 2 1 21 3 2 1 5
414 1 0 21 2 1 1 3 2 1 5
415 1 0 48 2 4 1 2 7 1 5
416 1 0 50 2 1 12 3 2 1 5
417 1 3 4727 1 4 2 372 6 3 17
418 1 3 45 4 7 10 4 1 7 1
419 1 3 42 1 2 3 4 5 9 3
420 1 3 42 1 2 3 4 5 9 3
421 1 3 61 1 4 2 2 6 3 17
422 1 3 21 2 1 1 3 2 1 5
423 1 3 270 10 27 43 19 6 18 7
424 1 3 441 7 1 2 83 2 3 6
425 1 3 270 10 27 43 19 6 18 7
426 1 3 262 2 1 1 3 2 1 3
427 1 0 21 2 1 1 3 2 1 5
428 1 3 61 1 4 2 2 6 3 17
429 1 3 441 7 1 2 83 2 3 6
430 1 3 270 10 27 43 19 6 18 7
431 1 3 42 1 2 3 4 5 9 3
432 1 3 586 1 2 42 4 98 58 34
433 1 3 21 2 1 1 3 2 1 5
434 1 3 4766 6 4 5 2 2 282 5
435 1 3 48 2 4 1 2 7 1 5
436 1 3 205 2 4 1 2 7 51 5
437 1 0 21 2 1 1 3 2 1 5
438 1 3 441 7 1 2 83 2 3 6
439 1 3 42 1 2 3 4 5 9 3
440 1 3 441 7 1 2 83 2 3 6
441 1 3 42 1 2 3 4 5 9 3
442 1 3 270 10 27 43 19 6 18 7
443 1 3 441 7 1 2 83 2 3 6
444 1 3 42 1 2 3 4 5 9 3
445 1 3 257 9 2 4 62 4 5 6
446 1 3 19 2 1 5 3 2 1 5
447 1 3 48 2 4 1 2 7 1 5
448 1 0 475 2 4 1 4 19 62 5
449 1 3 441 7 1 2 83 2 3 6
450 1 3 441 7 1 2 83 2 3 6
451 1 3 21 2 1 1 3 2 1 5
452 1 3 42 1 2 3 4 5 9 3
453 1 3 21 2 1 1 3 2 1 5
454 1 3 22 1 3 6 4 3 3 3
455 1 3 586 1 2 42 4 98 58 34
456 1 3 22 1 3 6 4 3 3 3
457 1 3 441 7 1 2 83 2 3 6
458 1 3 61 1 4 2 2 6 3 17
459 1 0 122 6 4 5 2 2 1 5
460 1 3 441 7 1 2 83 2 3 6
461 1 3 42 1 2 3 4 5 9 3
462 1 3 844 2 4 1 3 7 1 5
463 1 3 21 2 1 1 3 2 1 5
464 1 3 21 2 1 1 3 2 1 5
465 1 3 53 2 1 21 3 2 1 5
466 1 3 53 2 1 21 3 2 1 5
467 1 3 53 2 1 21 3 2 1 5
468 1 3 42 1 2 3 4 5 9 3
469 1 3 441 7 1 2 83 2 3 6
470 1 0 400 8 17 5 2 10 59 6
471 1 3 583 4 7 10 4 42 51 1
472 1 3 257 9 2 4 62 4 5 6
473 1 3 61 1 4 2 2 6 3 17
474 1 3 492 2 1 1 2 7 1 5
475 1 3 42 1 2 3 4 5 9 3
476 1 3 61 1 4 2 2 6 3 17
477 1 3 22 1 3 6 4 3 3 3
478 1 3 61 1 4 2 2 6 3 17
479 1 3 42 1 2 3 4 5 9 3
480 1 3 4727 1 4 2 372 6 3 17
481 1 0 969 8 10 2 10 11 12 6
482 1 3 48 2 4 1 2 7 1 5
483 1 3 61 1 4 2 2 6 3 17
484 1 3 42 1 2 3 4 5 9 3
485 1 3 42 1 2 3 4 5 9 3
486 1 3 42 1 2 3 4 5 9 3
487 1 3 21 2 1 1 3 2 1 5
488 1 3 257 9 2 4 62 4 5 6
489 1 3 441 7 1 2 83 2 3 6
490 1 3 21 2 1 1 3 2 1 5
491 1 0 400 8 17 5 2 10 59 6
492 1 3 262 2 1 1 3 2 1 3
493 1 3 21 2 1 1 3 2 1 5
494 1 3 441 7 1 2 83 2 3 6
495 1 3 270 10 27 43 19 6 18 7
496 1 3 21 2 1 1 3 2 1 5
497 1 3 441 7 1 2 83 2 3 6
498 1 3 61 1 4 2 2 6 3 17
499 1 3 257 9 2 4 62 4 5 6
500 1 3 42 1 2 3 4 5 9 3
501 1 3 441 7 1 2 83 2 3 6
502 1 0 42 1 2 3 4 5 9 3
503 1 3 441 7 1 2 83 2 3 6
504 1 3 21 2 1 1 3 2 1 5
505 1 3 61 1 4 2 2 6 3 17
506 1 3 21 2 1 1 3 2 1 5
507 1 3 257 9 2 4 62 4 5 6
508 1 3 257 9 2 4 62 4 5 6
509 1 3 48 2 4 1 2 7 1 5
510 1 3 61 1 4 2 2 6 3 17
511 1 3 61 1 4 2 2 6 3 17
512 1 3 19 2 1 5 3 2 1 5
513 1 0 4826 2 1 1 410 2 1 5
514 1 3 21 2 1 1 3 2 1 5
515 1 8 122 6 4 5 2 2 1 5
516 1 2 21 2 1 1 3 2 1 5
517 1 2 45 4 7 10 4 1 7 1
518 1 2 21 2 1 1 3 2 1 5
519 1 8 1728 2 1 12 3 11 1 5
520 1 8 1519 8 1 5 3 2 1 1
521 1 8 1911 7 84 5 10 119 178 26
522 1 2 969 8 10 2 10 11 12 6
523 1 8 824 9 2 2 2 11 5 6
524 1 5 4767 2 28 4 404 167 25 35
525 1 8 336 2 1 1 10 2 1 5
526 1 8 1044 2 10 2 4 19 3 6
527 1 8 354 8 10 2 2 11 12 6
528 1 2 45 4 7 10 4 1 7 1
529 1 2 3289 2 4 2 2 19 1 6
530 1 5 45 4 7 10 4 1 7 1
531 1 5 4768 4 28 4 399 372 25 35
532 1 5 4769 22 28 4 399 372 25 35
533 1 0 451 2 1 2 3 2 3 5
534 1 5 4770 2 7 243 28 520 29 23
535 1 5 4771 22 28 4 399 372 432 35
536 1 5 4772 2 28 4 399 372 99 35
537 1 8 131 7 2 6 10 10 37 1
538 1 8 45 4 7 10 4 1 7 1
539 1 2 21 2 1 1 3 2 1 5
540 1 5 4773 64 22 22 403 242 204 16
541 1 5 4773 64 22 22 403 242 204 16
542 1 5 4770 2 7 243 28 520 29 23
543 1 5 4746 2 7 243 28 520 29 35
544 1 5 4001 22 335 4 64 74 25 23
545 1 5 2314 2 61 4 64 332 7 23
546 1 5 2314 2 61 4 64 332 7 23
547 1 0 21 2 1 1 3 2 1 5
548 1 2 48 2 4 1 2 7 1 5
549 1 2 21 2 1 1 3 2 1 5
550 1 8 4774 22 28 4 28 74 99 35
551 1 8 45 4 7 10 4 1 7 1
552 1 8 257 9 2 4 62 4 5 6
553 1 2 48 2 4 1 2 7 1 5
554 1 5 48 2 4 1 2 7 1 5
555 1 5 704 2 29 4 27 10 25 57
556 1 5 1403 2 126 4 28 141 34 35
557 1 5 122 6 4 5 2 2 1 5
558 1 0 21 2 1 1 3 2 1 5
559 1 5 1409 2 15 4 3 154 51 35
560 1 5 4430 37 365 21 64 505 24 23
561 1 8 4775 37 61 316 404 521 29 23
562 1 8 1709 22 15 4 64 74 25 23
563 1 8 3102 2 84 12 3 11 1 5
564 1 8 1707 9 2 5 2 11 3 1
565 1 8 583 4 7 10 4 42 51 1
566 1 8 4776 37 52 4 26 129 29 23
567 1 8 45 4 7 10 4 1 7 1
568 1 8 464 24 2 2 2 10 3 1
569 1 2 400 8 17 5 2 10 59 6
570 1 5 4777 22 52 4 373 522 25 35
571 1 5 4777 22 52 4 373 522 25 35
572 1 5 4778 22 201 315 64 127 25 23
573 1 8 48 2 4 1 2 7 1 5
574 1 8 464 24 2 2 2 10 3 1
575 1 8 991 37 52 57 26 107 29 23
576 1 8 583 4 7 10 4 42 51 1
577 1 8 45 4 7 10 4 1 7 1
578 1 2 48 2 4 1 2 7 1 5
579 1 2 441 7 1 2 83 2 3 6
580 1 2 1709 22 15 4 64 74 25 23
581 1 2 585 69 74 61 6 97 89 48
582 1 2 45 4 7 10 4 1 7 1
583 1 5 1003 8 7 4 4 125 7 1
584 1 5 1709 22 15 4 64 74 25 23
585 1 5 905 2 15 4 3 154 25 35
586 1 8 464 24 2 2 2 10 3 1
587 1 0 52 9 25 2 10 22 3 6
588 1 2 400 8 17 5 2 10 59 6
589 1 2 4751 2 4 4 27 126 25 23
590 1 2 50 2 1 12 3 2 1 5
591 1 5 1409 2 15 4 3 154 51 35
592 1 5 4779 2 1 1 3 2 431 5
593 1 5 122 6 4 5 2 2 1 5
594 1 2 21 2 1 1 3 2 1 5
595 1 2 51 7 17 2 15 23 3 12
596 1 5 1709 22 15 4 64 74 25 23
597 1 5 137 4 7 10 4 42 7 1
598 1 0 21 2 1 1 3 2 1 5
599 1 5 4777 22 52 4 373 522 25 35
600 1 5 4829 2 146 95 38 461 7 35
601 1 5 4780 2 28 4 405 154 25 35
602 1 8 48 2 4 1 2 7 1 5
603 1 8 4781 22 28 4 243 17 29 35
604 1 8 2367 2 28 29 28 74 267 124
605 1 8 354 8 10 2 2 11 12 6
606 1 8 21 2 1 1 3 2 1 5
607 1 8 4782 22 28 80 243 17 25 35
608 1 8 4781 22 28 4 243 17 29 35
609 1 8 45 4 7 10 4 1 7 1
610 1 2 21 2 1 1 3 2 1 5
611 1 2 21 2 1 1 3 2 1 5
612 1 2 48 2 4 1 2 7 1 5
613 1 2 53 2 1 21 3 2 1 5
614 1 2 21 2 1 1 3 2 1 5
615 1 5 4783 2 28 21 399 372 432 35
616 1 8 4784 22 365 4 64 74 25 23
617 1 8 61 1 4 2 2 6 3 17
618 1 2 451 2 1 2 3 2 3 5
619 1 0 1409 2 15 4 3 154 51 35
620 1 2 48 2 4 1 2 7 1 5
621 1 5 2368 22 28 4 28 363 99 35
622 1 5 42 1 2 3 4 5 9 3
623 1 2 48 2 4 1 2 7 1 5
624 1 2 441 7 1 2 83 2 3 6
625 1 2 1044 2 10 2 4 19 3 6
